    0.5000000000E-02    0.1547781641E-05    0.8580652985E-05    0.1000000000E+01    0.3387858427E-05    0.3862177012E-05    0.1000000000E+01   -0.2729880759E-05    0.1180880997E-04    0.1000000000E+01    0.2991136930E-06    0.4065950862E-06    0.1347474304E+00    0.9908799776E+00    0.8899034049E-07   -0.5046827811E-07    0.2047652241E+00
    0.5500000000E-02    0.1704570937E-05    0.8606797496E-05    0.1000000000E+01    0.3474733046E-05    0.3827467434E-05    0.1000000000E+01   -0.2486716190E-05    0.1194889229E-04    0.1000000000E+01    0.3337948990E-06    0.4458234513E-06    0.1481273065E+00    0.9889683013E+00    0.1081042542E-06   -0.6082381202E-07    0.2252417465E+00
    0.6000000000E-02    0.1862781756E-05    0.8630394860E-05    0.1000000000E+01    0.3561543593E-05    0.3791055007E-05    0.1000000000E+01   -0.2239109600E-05    0.1208410188E-04    0.1000000000E+01    0.3693391619E-06    0.4847442955E-06    0.1614801235E+00    0.9868759647E+00    0.1291599918E-06   -0.7209297634E-07    0.2457182689E+00
    0.6500000000E-02    0.2022378305E-05    0.8651404635E-05    0.1000000000E+01    0.3648260338E-05    0.3752930319E-05    0.1000000000E+01   -0.1987159722E-05    0.1221431839E-04    0.1000000000E+01    0.4057449661E-06    0.5233458064E-06    0.1748034419E+00    0.9846033499E+00    0.1521786965E-06   -0.8426192956E-07    0.2661947913E+00
    0.7000000000E-02    0.2183323866E-05    0.8669786770E-05    0.1000000000E+01    0.3734853204E-05    0.3713084416E-05    0.1000000000E+01   -0.1730968327E-05    0.1233942357E-04    0.1000000000E+01    0.4430106516E-06    0.5616161816E-06    0.1880948281E+00    0.9821508721E+00    0.1771815034E-06   -0.9731653447E-07    0.2866713137E+00
    0.7500000000E-02    0.2345580797E-05    0.8685501629E-05    0.1000000000E+01    0.3821291771E-05    0.3671508812E-05    0.1000000000E+01   -0.1470640175E-05    0.1245930137E-04    0.1000000000E+01    0.4811344145E-06    0.5995436306E-06    0.2013518539E+00    0.9795189794E+00    0.2041895365E-06   -0.1112423562E-06    0.3071478361E+00
    0.8000000000E-02    0.2509110534E-05    0.8698510007E-05    0.1000000000E+01    0.3907545285E-05    0.3628195500E-05    0.1000000000E+01   -0.1206282965E-05    0.1257383796E-04    0.1000000000E+01    0.5201143077E-06    0.6371163769E-06    0.2145720976E+00    0.9767081524E+00    0.2332239060E-06   -0.1260246605E-06    0.3276243586E+00
    0.8500000000E-02    0.2673873592E-05    0.8708773149E-05    0.1000000000E+01    0.3993582663E-05    0.3583136954E-05    0.1000000000E+01   -0.9380072790E-06    0.1268292185E-04    0.1000000000E+01    0.5599482403E-06    0.6743226597E-06    0.2277531442E+00    0.9737189047E+00    0.2643057046E-06   -0.1416484113E-06    0.3481008810E+00
    0.9000000000E-02    0.2839829572E-05    0.8716252771E-05    0.1000000000E+01    0.4079372501E-05    0.3536326147E-05    0.1000000000E+01   -0.6659265357E-06    0.1278644396E-04    0.1000000000E+01    0.6006339787E-06    0.7111507357E-06    0.2408925859E+00    0.9705517823E+00    0.2974560051E-06   -0.1580982702E-06    0.3685774034E+00
    0.9500000000E-02    0.3006937161E-05    0.8720911075E-05    0.1000000000E+01    0.4164883078E-05    0.3487756551E-05    0.1000000000E+01   -0.3901569383E-06    0.1288429764E-04    0.1000000000E+01    0.6421691461E-06    0.7475888800E-06    0.2539880224E+00    0.9672073637E+00    0.3326958559E-06   -0.1753585954E-06    0.3890539258E+00
    0.1000000000E-01    0.3175154135E-05    0.8722710770E-05    0.1000000000E+01    0.4250082366E-05    0.3437422151E-05    0.1000000000E+01   -0.1108174079E-06    0.1297637879E-04    0.1000000000E+01    0.6845512233E-06    0.7836253891E-06    0.2670370615E+00    0.9636862600E+00    0.3700462793E-06   -0.1934134383E-06    0.4095304482E+00
    0.1050000000E-01    0.3344437368E-05    0.8721615092E-05    0.1000000000E+01    0.4334938034E-05    0.3385317453E-05    0.1000000000E+01    0.1719704720E-06    0.1306258592E-04    0.1000000000E+01    0.7277775491E-06    0.8192485824E-06    0.2800373195E+00    0.9599891144E+00    0.4095282675E-06   -0.2122465427E-06    0.4300069706E+00
